,zipcode,drug_change_area,larceny_change_area,robbery_change_area,streets_sidewalks311_before,streets_sidewalks311_after,home311_before,home311_after,noise311_before,noise311_after,transportation311_before,transportation311_after,public_health_safety311_before,public_health_safety311_after,vehicles_parking311_before,vehicles_parking311_after,master_card_before,master_card_after,drugs_before,drugs_after,petit_larceny_before,petit_larceny_after,robbery_before,robbery_after,private_vehicles_before,private_vehicles_after,subway_before,subway_after,yellow_taxi_before,yellow_taxi_after,drug_change_abs,drug_change_rate,petit_larceny_change_abs,petit_larceny_change_rate,robbery_change_abs,robbery_change_rate,SS_change_rate,H_change_rate,N_change_rate,T_change_rate,PHS_change_rate,VP_change_rate,SS_change_pop,H_change_pop,N_change_pop,T_change_pop,PHS_change_pop,VP_change_pop,SS_change_area,H_change_area,N_change_area,T_change_area,PHS_change_area,VP_change_area,MasterCard_growth_rank,subway_change_abs,subway_change_rate,yellowTaxi_change_abs,yellowTaxi_change_rate,privateVehicle_change_abs,privateVehicle_change_rate,population,area,pv_change_area,sub_change_area,yel_change_area,pv_change_pop,sub_change_pop,yel_change_pop,taxi_before,taxi_after,taxi_2015,fhv_before,fhv_after,taxi_change_abs,taxi_change_rate,taxi_change_pop,taxi_change_area,taxi_change_abs_15,fhv_change_abs,fhv_change_rate,fhv_change_pop,fhv_change_area,fhv_taxi_change_abs,fhv_taxi_change_rate,drug_change_area,larceny_change_area,robbery_change_area,drug_change_pop,larceny_change_pop,robbery_change_pop,average_rent_2013,average_rent_2017,taxi_change_rate_15,renovation_index,renovation_index_with_rent,business_renewal,rent_increase,count_new_buildings,count_major_renovation,Total_building_permits,Urban_landscape_renewal,new_building_area,new_building_pop,new_building_tbp,major_renovation_area,major_renovation_pop,major_renovation_tbp,log_fhv_taxi_change
13,10012,4.35E-06,-6.15E-05,-5.44E-07,109.33,190,128,82.88,517,774.33,82,57.5,62,66,180,222.5,443.58,450.25,104,144,1387,822,45,40,5440207.905,2792632.037,47410333,43508157,5440198.875,2751288.341,40,0.384615385,-565,-0.407354001,-5,-0.111111111,0.737857862,-0.3525,0.497736944,-0.298780488,0.064516129,0.236111111,3.323035096,-1.858625803,10.60018125,-1.00922722,0.164771791,1.75070028,8.774449656,-4.907687721,27.98970038,-2.664857029,0.435078699,4.622711174,399.63,-3902176,-0.082306446,-2688910.535,-0.494266955,-2647575.867,-0.486668141,24276,9193739,-0.287975966,-0.424438414,-0.292471924,-109.0614544,-160.7421321,-110.7641512,5055838.985,2751535.037,4199031.301,8119,41097,-2304303.947,-0.455770833,-94.92107215,-0.250638391,-1447496.264,32978,4.061830275,1.358461031,0.003587006,-0.022782788,4.40655175,4.35E-06,-6.15E-05,-5.44E-07,0.001647718,-0.023274015,-0.000205965,2168.490683,2571.45911,-0.344721475,12.08606247,14.33200322,0.456521739,1.185828987,335,653,12308,3.10E-05,3.64E-05,0.013799638,0.02721807,7.10E-05,0.026898995,0.053054924,2.044423037
14,10013,1.22E-06,-2.25E-06,-4.49E-07,249.67,307.33,104.88,66.62,317.67,437.67,182.5,162.5,82,64,197.5,106.5,453.83,526.42,59,78,626,591,41,34,4707386.236,3875137.877,45999529,46069802,4707374.627,2848493.233,19,0.322033898,-35,-0.055910543,-7,-0.170731707,0.230944847,-0.364797864,0.377750496,-0.109589041,-0.219512195,-0.460759494,2.060389494,-1.367160979,4.288011435,-0.714668572,-0.643201715,-3.251742005,3.700761096,-2.45562122,7.701896141,-1.283649357,-1.155284421,-5.840604574,437.76,70273,0.00152769,-1858881.394,-0.394887074,-832248.3593,-0.176796277,27985,15580578.83,-0.053415754,0.004510295,-0.119307595,-29.73908734,2.51109523,-66.4242056,4341168.793,2848695.877,3577442.472,404473,1026442,-1492472.916,-0.343795182,-53.33117443,-0.095790595,-728746.5948,621969,1.537726869,22.22508487,0.039919505,-0.853477744,1.741432897,1.22E-06,-2.25E-06,-4.49E-07,0.000678935,-0.00125067,-0.000250134,2168.490683,2571.45911,-0.203706028,10.1132241,11.99255429,0.434645669,1.185828987,462,1183,17911,2.65E-05,2.97E-05,0.016508844,0.025794205,7.59E-05,0.042272646,0.066048797,1.159055596
15,10014,2.61E-06,-1.19E-05,-7.07E-07,234.67,286.67,92.12,73.88,503.33,559.67,110.5,93,98,140,195.5,109,364.75,291.5,147,184,611,443,86,76,6166754.914,4233063.685,52236398,51475726,6166729.761,3535407.806,37,0.25170068,-168,-0.274959083,-10,-0.11627907,0.221587762,-0.198002605,0.111934516,-0.158371041,0.428571429,-0.442455243,1.659856997,-0.582226762,1.798391216,-0.55860572,1.340653728,-2.761108274,3.674638457,-1.288950105,3.981329436,-1.236657173,2.967977215,-6.112619741,325.7,-760672,-0.014562107,-2631321.954,-0.426696492,-1933691.229,-0.313567063,31328,14151052.03,-0.136646464,-0.053753742,-0.185945324,-61.72405608,-24.28089888,-83.99265687,5749919.576,3535750.685,4890099.704,132424,697313,-2214168.891,-0.385078237,-70.67699474,-0.156466734,-1354349.019,564889,4.265759983,18.03144152,0.039918516,-0.417092634,4.542717326,2.61E-06,-1.19E-05,-7.07E-07,0.001181052,-0.005362615,-0.000319203,3589.833333,4351.916667,-0.276957343,11.4205425,13.84500187,0.519191919,1.212289336,196,851,12653,2.41E-05,1.39E-05,0.006256384,0.015490398,6.01E-05,0.027164198,0.067256777,1.985512539
16,10016,5.19E-06,-5.38E-06,-3.32E-07,181.33,299.33,107.62,90.25,448,599,38,40,94,103.5,378,277.5,410.25,454.5,49,127,578,497,57,52,8862760.296,5649844.493,60485469,56313669,8862710.634,5562963.312,78,1.591836735,-81,-0.140138408,-5,-0.087719298,0.650747256,-0.161401227,0.337053571,0.052631579,0.10106383,-0.265873016,2.160934696,-0.318096912,2.76526389,0.036626012,0.173973556,-1.840457093,7.844491316,-1.154735713,10.03828973,0.13295748,0.63154803,-6.681113366,412.65,-4171800,-0.068971938,-3299747.322,-0.37231807,-3212915.803,-0.362518639,54606,15042403.04,-0.213590594,-0.277336007,-0.219363044,-58.83814605,-76.398198,-60.42829216,8486670.829,5563501.493,7498358.16,11973,86343,-2923169.336,-0.344442408,-53.5320173,-0.194328614,-1934856.668,74370,6.211475821,1.361938249,0.004944024,-0.038436956,6.469513197,5.19E-06,-5.38E-06,-3.32E-07,0.001428414,-0.001483353,-9.16E-05,3312.25,3671.666667,-0.258037376,6.075747631,6.735035113,0.473071325,1.108511334,370,437,16201,1.58E-05,2.46E-05,0.006775812,0.022838096,2.91E-05,0.008002784,0.026973644,2.274130031
17,10017,1.84E-06,3.27E-06,1.02E-07,96.33,99.33,27.25,29.75,89.33,203.67,17,23,17.5,19,255,159.5,467.92,654.5,19,37,391,423,30,31,7611673.124,4425839.106,109784383,109110065,7611652.485,4162501.221,18,0.947368421,32,0.081841432,1,0.033333333,0.031142946,0.091743119,1.279973133,0.352941176,0.085714286,-0.374509804,0.188465888,0.157054906,7.183063199,0.376931775,0.094232944,-5.999497424,0.306298,0.255248334,11.67403778,0.612596,0.153149,-9.750486341,508.41,-674318,-0.006142203,-3449151.265,-0.453140927,-3185834.018,-0.418545826,15918,9794383.24,-0.32527153,-0.068847418,-0.352156045,-200.1403454,-42.36198015,-216.6824516,7247589.32,4162960.106,6341089.153,40395,262879,-3084629.214,-0.425607616,-193.782461,-0.314938587,-2178129.047,222484,5.50771135,13.97688152,0.022715468,-0.102144545,5.851205819,1.84E-06,3.27E-06,1.02E-07,0.001130795,0.002010303,6.28E-05,3286.25,3542.166667,-0.343494468,7.10994148,7.66362806,0.876826722,1.077874984,91,259,13792,9.16E-06,9.29E-06,0.005716799,0.006598028,2.64E-05,0.016270888,0.018779002,2.293811995
18,10018,-3.74E-07,-7.85E-06,-6.54E-07,105.67,130.67,32.38,40.25,123.67,168,16.5,23,15,34,158,110.5,664.75,169.67,157,153,673,589,83,76,4808169.164,5293150.271,43314893,45904563,4808156.265,3975189.88,-4,-0.025477707,-84,-0.124814264,-7,-0.084337349,0.236585597,0.243051266,0.35845395,0.393939394,1.266666667,-0.300632911,4.542976558,1.430129021,8.055606033,1.181173905,3.452662184,-8.631655461,2.335183566,0.735115787,4.140747499,0.607147727,1.77473951,-4.436848776,518.37,2589670,0.059787058,-832966.3848,-0.17324029,484981.1072,0.100866066,5503,10705796.48,0.045300796,0.241894193,-0.077805177,88.13031205,470.5924041,-151.3658704,4720874.157,3975404.271,4142388.455,283184,1317746,-745469.8857,-0.15790929,-135.4660886,-0.069632361,-166984.1843,1034562,3.653320809,187.9996366,0.096635687,-6.195568786,3.693631897,-3.74E-07,-7.85E-06,-6.54E-07,-0.000726876,-0.015264401,-0.001272033,2168.490683,2571.45911,-0.040311088,8.134065445,9.645610585,0.463736264,1.185828987,416,211,10925,2.34E-05,3.89E-05,0.07559513,0.038077803,1.97E-05,0.038342722,0.019313501,1.578727214
19,10019,-4.25E-07,1.06E-07,7.44E-07,283.33,308.67,105.12,132.75,487.33,465.33,50,71.5,54.5,77,485.5,239.5,389.08,769.17,186,178,1147,1149,69,83,11633656.38,8412953.191,93495164,98741587,11633610.58,8014805.833,-8,-0.043010753,2,0.001743679,14,0.202898551,0.089436346,0.262842466,-0.045143948,0.43,0.412844037,-0.50669413,0.603822142,0.658390125,-0.524233904,0.512319497,0.536148311,-5.861888195,1.345840471,1.46746536,-1.168448712,1.141893059,1.195004364,-13.06538105,537.85,5246423,0.056114378,-3618804.751,-0.311064628,-3220703.185,-0.276843589,41966,18828383.12,-0.171055749,0.278644373,-0.192199443,-76.7455365,125.0160368,-86.23182459,11390414.41,8015824.191,10045521.63,49288,397129,-3374590.219,-0.296265798,-80.41248198,-0.179228891,-2029697.438,347841,7.057316182,8.288638422,0.018474289,-0.171375789,7.259366162,-4.25E-07,1.06E-07,7.44E-07,-0.000190631,4.77E-05,0.000333603,3420.583333,3848.833333,-0.202049979,5.164540922,5.811130826,0.429090909,1.125197944,371,592,18439,1.44E-05,1.97E-05,0.00884049,0.020120397,3.14E-05,0.014106658,0.032105863,2.312289836
20,10021,1.91E-07,2.76E-06,7.62E-07,161.33,227.67,57.88,55.25,135.33,180.33,60.5,52.5,67.5,124.5,168.5,110.5,474.33,701,2,4,216,245,8,16,5477360.396,4093701.206,22165802,16588306,5477343.627,3815083.769,2,1,29,0.134259259,8,1,0.411206843,-0.045438839,0.332520505,-0.132231405,0.844444444,-0.34421365,1.46449149,-0.058058677,0.993399413,-0.17660434,1.258305923,-1.280381465,6.321024938,-0.250592336,4.287701571,-0.762258057,5.431088656,-5.526370913,449.8,-5577496,-0.251626176,-1662259.858,-0.303479199,-1383659.19,-0.252614232,45299,10495133.41,-0.131838171,-0.531436408,-0.158383871,-30.54502726,-123.12625,-36.69528815,5264665.887,3815447.206,4763455.519,51621,278254,-1449218.68,-0.275272679,-31.99228858,-0.138084827,-948008.3123,226633,4.390325643,5.003046425,0.021594104,-0.23906225,4.589342577,1.91E-07,2.76E-06,7.62E-07,4.42E-05,0.000640191,0.000176604,3330.333333,3680.416667,-0.199016934,7.725154919,8.537220173,0.473572939,1.105119608,115,468,11032,1.79E-05,1.10E-05,0.002538687,0.01042422,4.46E-05,0.010331354,0.042422045,1.906521272
21,10022,3.22E-06,6.60E-06,-3.14E-07,180.67,249.33,51.12,68.25,160.67,255.67,19,24.5,49,62.5,330,222.5,351.75,478.92,13,54,690,774,35,31,10039494.83,6373986.24,125386115,108245986,10039471.62,6049309.22,41,3.153846154,84,0.12173913,-4,-0.114285714,0.380029889,0.335093897,0.59127404,0.289473684,0.275510204,-0.325757576,2.072129169,0.516976007,2.867059001,0.165987626,0.407424174,-3.244303606,5.394263793,1.345816178,7.4636624,0.432106771,1.060625709,-8.445723242,359.93,-17140129,-0.13669878,-3990162.395,-0.39744745,-3665508.593,-0.365108868,33135,12728335.62,-0.287980196,-1.346611962,-0.313486579,-110.6234674,-517.2816961,-120.4213791,9583496.63,6050157.24,8363031.947,36606,323829,-3533339.39,-0.368690002,-106.6346579,-0.27759634,-2312874.707,287223,7.846336666,8.668266184,0.022565637,-0.124184418,8.122896019,3.22E-06,6.60E-06,-3.14E-07,0.001237362,0.002535084,-0.000120718,3408.75,3914.083333,-0.276559353,3.235665456,3.71533971,0.336647727,1.148245936,315,423,21522,1.17E-05,2.47E-05,0.009506564,0.014636186,3.32E-05,0.012765957,0.019654307,2.50374021
22,10023,2.37E-06,1.38E-05,-6.57E-07,179.67,258.67,69.62,68.88,330.33,421.67,18.5,32.5,109.5,115,211.5,163,287.08,428.17,38,74,968,1178,62,52,6450953.373,4910327.539,118314743,115077731,6450931.444,4516789.812,36,0.947368421,210,0.216942149,-10,-0.161290323,0.439694996,-0.01062913,0.276511367,0.756756757,0.050228311,-0.229314421,1.257961783,-0.011783439,1.454458599,0.222929936,0.087579618,-0.772292994,5.19302518,-0.048643527,6.00418886,0.920282943,0.361539728,-3.188123054,319.46,-3237012,-0.027359329,-1934141.632,-0.299823622,-1540625.834,-0.238821418,62800,15212712.68,-0.101272263,-0.212783352,-0.127139825,-24.53225851,-51.54477707,-30.79843363,6094571.832,4517116.539,5502397.937,53709,393211,-1577455.294,-0.258829551,-25.11871487,-0.103693229,-985281.398,339502,6.321137984,5.406082803,0.022316993,-0.344573642,6.500201987,2.37E-06,1.38E-05,-6.57E-07,0.000573248,0.003343949,-0.000159236,3424.25,3858.583333,-0.179064003,5.238509285,5.902964042,0.374745418,1.126840427,168,562,13389,1.56E-05,1.10E-05,0.002675159,0.012547614,3.69E-05,0.008949045,0.041974755,2.188075908
