,zipcode,drug_change_area,larceny_change_area,robbery_change_area,streets_sidewalks311_before,streets_sidewalks311_after,home311_before,home311_after,noise311_before,noise311_after,transportation311_before,transportation311_after,public_health_safety311_before,public_health_safety311_after,vehicles_parking311_before,vehicles_parking311_after,master_card_before,master_card_after,drugs_before,drugs_after,petit_larceny_before,petit_larceny_after,robbery_before,robbery_after,private_vehicles_before,private_vehicles_after,subway_before,subway_after,yellow_taxi_before,yellow_taxi_after,drug_change_abs,drug_change_rate,petit_larceny_change_abs,petit_larceny_change_rate,robbery_change_abs,robbery_change_rate,SS_change_rate,H_change_rate,N_change_rate,T_change_rate,PHS_change_rate,VP_change_rate,SS_change_pop,H_change_pop,N_change_pop,T_change_pop,PHS_change_pop,VP_change_pop,SS_change_area,H_change_area,N_change_area,T_change_area,PHS_change_area,VP_change_area,MasterCard_growth_rank,subway_change_abs,subway_change_rate,yellowTaxi_change_abs,yellowTaxi_change_rate,privateVehicle_change_abs,privateVehicle_change_rate,population,area,pv_change_area,sub_change_area,yel_change_area,pv_change_pop,sub_change_pop,yel_change_pop,taxi_before,taxi_after,taxi_2015,fhv_before,fhv_after,taxi_change_abs,taxi_change_rate,taxi_change_pop,taxi_change_area,taxi_change_abs_15,fhv_change_abs,fhv_change_rate,fhv_change_pop,fhv_change_area,fhv_taxi_change_abs,fhv_taxi_change_rate,drug_change_area,larceny_change_area,robbery_change_area,drug_change_pop,larceny_change_pop,robbery_change_pop,average_rent_2013,average_rent_2017,taxi_change_rate_15,renovation_index,renovation_index_with_rent,business_renewal,rent_increase,count_new_buildings,count_major_renovation,Total_building_permits,Urban_landscape_renewal,new_building_area,new_building_pop,new_building_tbp,major_renovation_area,major_renovation_pop,major_renovation_tbp,log_fhv_taxi_change
47,10282,1.92E-06,6.40E-06,1.28E-06,3.33,8.67,0.38,6.38,5,4.67,1.5,2,1.5,1.5,23.5,14.5,810.67,296.67,1,4,27,37,1,3,573404.0404,346521.0362,,,573403.3955,346489.0362,3,3,10,0.37037037,2,2,1.603603604,15.78947368,-0.066,0.333333333,0,-0.382978723,1.290166707,1.449625513,-0.079729403,0.120802126,0,-2.17443827,3.416845588,3.839152346,-0.211153379,0.319929362,0,-5.758728519,533.69,,,-226914.3592,-0.3957325,-226883.0042,-0.395677373,4139,1562844.987,-0.14517307,,-0.145193132,-54.81589857,,-54.82347408,566546.0564,346489.0362,490690.6251,64,32,-220057.0202,-0.38841859,-53.16671181,-0.140805404,-144201.5889,-32,-0.5,-0.007731336,-2.05E-05,0.000221912,-0.206125242,1.92E-06,6.40E-06,1.28E-06,0.000724813,0.002416043,0.000483209,2168.490683,2571.45911,-0.293874758,2.274091536,2.696683662,0.285714286,1.185828987,1,5,603,8.62E-06,6.40E-07,0.000241604,0.001658375,3.20E-06,0.001208021,0.008291874,-0.345184519
48,10301,5.04E-07,-4.18E-07,-2.95E-07,417.67,563,117.88,96.75,239.33,370.67,183,343.5,163,157.5,63,180,473.33,685.67,58,111,431,387,90,59,440.0809604,165495.3464,7571065,8483573,292.385531,450.8914695,53,0.913793103,-44,-0.102088167,-31,-0.344444444,0.347954126,-0.179250085,0.548782016,0.87704918,-0.033742331,1.857142857,3.59389683,-0.522528315,3.247935111,3.969039023,-0.136010683,2.893318166,1.381690929,-0.200888525,1.248684282,1.525916151,-0.052289962,1.112350091,654.24,912508,0.120525712,158.5059386,0.542112799,165055.2654,375.0565925,40438,105182712.6,0.001569224,0.008675456,1.51E-06,4.081687161,22.56560661,0.003919727,1737.80241,1383.346396,623.082973,16473,164112,-354.456014,-0.203967961,-0.008765419,-3.37E-06,760.2634232,147639,8.962484065,3.650996587,0.001403643,194.1945325,7.742320048,5.04E-07,-4.18E-07,-2.95E-07,0.001310648,-0.001088085,-0.000766606,1994.5,2120.583333,1.220164017,14.67410413,15.6017351,0.50513347,1.063215509,657,294,3192,3.91E-05,6.25E-06,0.016247094,0.205827068,2.80E-06,0.007270389,0.092105263,1.50124537
49,10302,-7.44E-07,-4.74E-07,-6.09E-07,167,215.33,54.5,43.38,122.67,192,79.5,196,66.5,86.5,45.5,133.5,415.83,699.17,77,55,201,187,66,48,48.32385285,51014.67098,,,34.7797305,37.16138485,-22,-0.285714286,-14,-0.069651741,-18,-0.272727273,0.289401198,-0.204036697,0.565174859,1.465408805,0.30075188,1.934065934,2.666777024,-0.613584947,3.825525575,6.428295536,1.103570049,4.855708216,1.635238429,-0.376243562,2.345770335,3.941760336,0.676697053,2.977467035,465.89,,,2.381654354,0.068478229,50966.34713,1054.683021,18123,29555323.02,0.001724439,,8.06E-08,2.81224671,,0.000131416,221.5981082,571.6709806,153.5147258,1713,50443,350.0728724,1.579764716,0.019316497,1.18E-05,418.1562548,48730,28.44716871,2.688848425,0.001648772,116.5353847,25.72328504,-7.44E-07,-4.74E-07,-6.09E-07,-0.001213927,-0.000772499,-0.000993213,1936.25,2049.25,2.723883671,32.08081838,33.9530624,0.430985915,1.058360232,473,151,1542,0.000102648,1.60E-05,0.026099432,0.306744488,5.11E-06,0.008331954,0.097924773,2.067830645
50,10303,-2.21E-07,5.64E-07,-2.45E-08,202.67,339,76,43.5,102,204.67,94.5,220.5,83.5,95,53,151,325.17,635,84,66,321,367,49,47,94.42885572,1125.052504,,,93.1389393,244.6457836,-18,-0.214285714,46,0.143302181,-2,-0.040816327,0.672669857,-0.427631579,1.006568627,1.333333333,0.137724551,1.849056604,5.040298728,-1.201567584,3.795844425,4.658385093,0.425170068,3.623188406,1.670101412,-0.398139044,1.257751866,1.543554448,0.140879969,1.200542348,379.46,,,151.5068443,1.626675647,1030.623648,10.91428717,27048,81629773.52,1.26E-05,,1.86E-06,0.038103507,,0.005601407,582.6997244,749.0525037,772.8719726,17,376,166.3527794,0.285486285,0.00615028,2.04E-06,-23.81946886,359,21.11764706,0.0132727,4.40E-06,-15.07170467,21.14846648,-2.21E-07,5.64E-07,-2.45E-08,-0.000665484,0.00170068,-7.39E-05,1929.916667,2003.166667,-0.030819424,13.71190032,14.23233559,0.371657754,1.037955007,436,103,1617,5.18E-05,5.34E-06,0.016119491,0.269635127,1.26E-06,0.003808045,0.063698207,3.127680131
51,10304,-6.21E-07,-1.14E-06,-4.68E-07,334,387,117.12,104.62,376.67,465.67,137.5,263,128.5,184.5,53.5,170.5,510,624.08,158,97,380,268,99,53,326.0831524,11012.79751,,,311.2491136,725.8857175,-61,-0.386075949,-112,-0.294736842,-46,-0.464646465,0.158682635,-0.106728142,0.236281095,0.912727273,0.435797665,2.186915888,1.277046889,-0.301190304,2.144474965,3.023950653,1.349332562,2.819141246,0.539568273,-0.127256668,0.906067478,1.277656949,0.570109874,1.191122414,460.81,,,414.6366038,1.332169589,10686.71436,32.77297303,41502,98226679.8,0.000108796,,4.22E-06,0.25749878,,0.009990762,385.2016708,1206.79751,521.1500438,1527,9806,821.5958395,2.132897912,0.019796536,8.36E-06,685.6474665,8279,5.421741978,0.199484362,8.43E-05,12.07471828,4.106098864,-6.21E-07,-1.14E-06,-4.68E-07,-0.001469809,-0.002698665,-0.00110838,2001.833333,2091.5,1.315643114,18.53503618,19.36526259,0.437362637,1.044792274,1074,441,3607,5.74E-05,1.09E-05,0.025878271,0.297754367,4.49E-06,0.010625994,0.122262268,1.020001965
52,10305,-4.49E-08,-5.65E-07,-5.38E-08,427.67,548.33,68.25,58.62,109.33,202.33,225.5,269,128,172,78,189,413.33,449.92,51,46,271,208,31,25,474.5229232,1377758.416,,,460.9788008,696.775966,-5,-0.098039216,-63,-0.232472325,-6,-0.193548387,0.282133421,-0.141098901,0.85063569,0.192904656,0.34375,1.423076923,2.890336799,-0.230680784,2.227758348,1.042016002,1.053993197,2.658937383,1.082717331,-0.086412795,0.834516093,0.390338173,0.394824818,0.996035337,436.35,,,235.7971651,0.511514119,1377283.893,2902.460188,41746,111441829.3,0.01235877,,2.12E-06,32.99199667,,0.005648377,569.8145223,1062.415772,496.4541044,405952,1376696,492.6012496,0.864494024,0.011799963,4.42E-06,565.9616675,970744,2.391277787,23.25358118,0.008710769,1715.21157,1.251269753,-4.49E-08,-5.65E-07,-5.38E-08,-0.000119772,-0.001509127,-0.000143726,1970.5,2133.333333,1.140008034,13.92926399,15.08031626,0.378666667,1.082635541,1019,358,3546,5.04E-05,9.14E-06,0.024409524,0.287366046,3.21E-06,0.008575672,0.100958827,0.460397195
53,10306,-2.18E-07,-8.62E-08,-1.72E-08,669,854.67,113.88,75.75,159.33,355.67,233.5,255.5,332,289,83,178.5,380.17,555.17,80,42,382,367,23,20,153.342777,1385269.852,,,145.6032785,113.9615802,-38,-0.475,-15,-0.039267016,-3,-0.130434783,0.277533632,-0.334826133,1.232285194,0.094218415,-0.129518072,1.15060241,3.339268372,-0.685766699,3.531167944,0.395669221,-0.773353476,1.717564116,1.066438467,-0.219008449,1.127724073,0.126362074,-0.246980417,0.548526276,415.13,,,-31.64169831,-0.217314463,1385116.509,9032.812212,55602,174102872,0.007955736,,-1.82E-07,24.91127134,,-0.000569075,177.3475657,188.8516609,222.4353851,636015,1385081,11.50409519,0.064867511,0.000206901,6.61E-08,-33.58372418,749066,1.177748952,13.47192547,0.004302433,-22304.43521,1.328730884,-2.18E-07,-8.62E-08,-1.72E-08,-0.000683429,-0.000269774,-5.40E-05,2019,2223.666667,-0.150981932,9.816213897,10.81128659,0.353092784,1.101370315,1583,666,6131,3.76E-05,9.09E-06,0.028470199,0.258196053,3.83E-06,0.011977986,0.108628282,0.941966564
54,10307,5.00E-07,2.50E-06,0,127,152.67,19.25,15.62,83.67,57.33,15,28,50,69,15,34.5,10.83,422.25,11,34,51,166,5,5,20.63204352,1372053.409,,,20.63204352,6.193564142,23,2.090909091,115,2.254901961,0,0,0.202125984,-0.188571429,-0.314808175,0.866666667,0.38,1.3,1.821083995,-0.257519864,-1.86861521,0.922247446,1.347900114,1.383371169,0.55769937,-0.078864383,-0.572255606,0.28243443,0.412788782,0.423651645,450.63,,,-14.43847937,-0.699808498,1372032.777,66500.09129,14096,46028382.63,0.029808407,,-3.14E-07,97.33490192,,-0.001024296,20.41518134,19.40946074,10.52691295,554244,1372034,-1.005720599,-0.049263368,-7.13E-05,-2.19E-08,8.882547785,817790,1.475505373,58.01574915,0.017767081,92067.05326,0.631711202,5.00E-07,2.50E-06,0,0.001631669,0.008158343,0,2031.75,2125.75,0.843794171,18.68437249,19.54881497,0.295081967,1.046265535,670,178,1974,8.83E-05,1.46E-05,0.047531215,0.339412361,3.87E-06,0.012627696,0.090172239,0.294619069
55,10308,-1.12E-07,-1.05E-06,-1.59E-08,287.67,429,30.38,21.88,43.33,132.33,71.5,115,108.5,101,45.5,75,410.58,619.18,25,18,153,87,9,8,45.97998269,53308.12068,,,45.97998269,22.29683091,-7,-0.28,-66,-0.431372549,-1,-0.111111111,0.491292106,-0.279789335,2.054004154,0.608391608,-0.069124424,0.648351648,5.118426771,-0.307837172,3.223236274,1.575401999,-0.271621034,1.068376068,2.252233523,-0.135455918,1.418303146,0.693215582,-0.119519928,0.470111717,528.47,,,-23.68315178,-0.515075265,53262.14069,1158.376702,27612,62751041.82,0.000848785,,-3.77E-07,1.928949033,,-0.000857712,40.39648786,42.12067581,31.79160001,5024,53266,1.724187947,0.04268163,6.24E-05,2.75E-08,10.3290758,48242,9.602308917,1.747138925,0.000768784,4670.504985,9.27740939,-1.12E-07,-1.05E-06,-1.59E-08,-0.000253513,-0.002390265,-3.62E-05,1994.5,2261.666667,0.324899527,15.71527192,17.82035931,0.350515464,1.133951701,344,296,1802,5.69E-05,5.48E-06,0.012458351,0.190899001,4.72E-06,0.010719977,0.164261931,2.079735172
56,10309,1.30E-07,-6.49E-07,-3.24E-08,442,519,35.75,37,78,80,94.5,113,117.5,174,43,93.5,344.75,751.92,51,79,231,91,10,3,73.6858697,612384.9706,,,73.6858697,65.65177991,28,0.549019608,-140,-0.606060606,-7,-0.7,0.174208145,0.034965035,0.025641026,0.195767196,0.480851064,1.174418605,2.325300477,0.037748384,0.060397415,0.558676089,1.706226973,1.525034729,0.35675269,0.00579144,0.009266304,0.085713309,0.261773078,0.233974167,443.93,,,-8.034089794,-0.109031621,612311.2847,8309.75175,33114,215835793.5,0.002836931,,-3.72E-08,18.49100938,,-0.000242619,61.62130249,108.9705521,103.7256333,140417,612276,47.34924959,0.768390925,0.001429886,2.19E-07,5.244918758,471859,3.360412201,14.24953192,0.002186194,89964.97787,3.309846891,1.30E-07,-6.49E-07,-3.24E-08,0.000845564,-0.004227819,-0.000211391,2025.666667,2226.083333,0.05056531,8.440104176,9.275156444,0.281198003,1.098938621,1665,176,4175,4.36E-05,7.71E-06,0.050280848,0.398802395,8.15E-07,0.005314973,0.042155689,1.423238185
57,10310,-4.30E-07,-3.55E-07,-5.99E-07,241.33,340,55.75,46.25,171.67,361.67,112.5,198.5,89,127,58.5,138,580.58,610.25,66,43,232,213,55,23,154.8893529,71885.63293,,,149.7296872,77.41955178,-23,-0.348484848,-19,-0.081896552,-32,-0.581818182,0.408859238,-0.170403587,1.106774626,0.764444444,0.426966292,1.358974359,3.946326441,-0.379954405,7.599088109,3.43958725,1.519817622,3.179618446,1.845565951,-0.17769207,3.553841398,1.608580844,0.71076828,1.487002059,558.48,,,-72.31013545,-0.482937865,71730.74357,463.1095827,25003,53463275,0.001341683,,-1.35E-06,2.868885477,,-0.002892058,184.8909679,753.6329277,179.6943811,4393,71132,568.7419598,3.076093799,0.022746949,1.06E-05,573.9385466,66739,15.19212383,2.669239691,0.001248315,116.2824842,11.99815336,-4.30E-07,-3.55E-07,-5.99E-07,-0.00091989,-0.000759909,-0.001279846,1962.333333,2124.5,3.193970469,11.43763667,12.3828397,0.353281853,1.082639715,240,130,1563,4.29E-05,4.49E-06,0.009598848,0.153550864,2.43E-06,0.005199376,0.083173385,1.35087705
58,10312,-4.73E-08,-4.08E-07,1.18E-08,788,947,75.25,56.12,88,232.67,177,260.5,235,290,103,145,310.83,635.83,72,64,228,159,11,13,298.8698875,90503.931,,,298.8698875,48.30980031,-8,-0.111111111,-69,-0.302631579,2,0.181818182,0.20177665,-0.254219269,1.643977273,0.471751412,0.234042553,0.40776699,2.717669983,-0.326975011,2.472737839,1.427204047,0.940074522,0.71787509,0.940341912,-0.113136734,0.855592858,0.493827356,0.325275504,0.248392203,508.74,,,-250.5600872,-0.838358422,90205.06111,301.8205075,58506,169087432.9,0.000533482,,-1.48E-06,1.541808722,,-0.004282639,117.8459908,65.93099577,94.42784682,6187,90438,-51.91499502,-0.440532552,-0.000887345,-3.07E-07,-28.49685105,84251,13.61742363,1.440040338,0.000498269,-2956.502101,13.91920803,-4.73E-08,-4.08E-07,1.18E-08,-0.000136738,-0.001179366,3.42E-05,2023.916667,2294.416667,-0.3017844,10.85773003,12.30888462,0.328254848,1.133651748,1620,531,5001,4.55E-05,9.58E-06,0.027689468,0.323935213,3.14E-06,0.009075992,0.106178764,3.041441557
59,10314,-1.90E-07,-8.02E-08,-7.38E-08,851.33,1231.33,117.5,94.5,186.33,342.67,354,570,283,348,130.5,413,330.17,338.5,117,27,806,768,56,21,1442.280016,295856.9811,,,1417.126646,350.5557304,-90,-0.769230769,-38,-0.047146402,-35,-0.625,0.446360401,-0.195744681,0.839048999,0.610169492,0.229681979,2.164750958,4.448086152,-0.269226267,1.830036287,2.528385813,0.760856842,3.30680089,0.801711904,-0.048524668,0.329841156,0.455709925,0.137134931,0.596009508,339.48,,,-1066.570916,-0.752629215,294414.701,204.1314431,85430,473985727.1,0.000621147,,-2.25E-06,3.446268302,,-0.012484735,653.3145143,1202.981061,808.5028016,94819,294654,549.6665467,0.841350582,0.006434116,1.16E-06,394.4782594,199835,2.107541737,2.339166569,0.000421606,506.5805155,1.619629687,-1.90E-07,-8.02E-08,-7.38E-08,-0.001053494,-0.000444809,-0.000409692,1993.666667,2129.833333,0.48791205,6.875367524,7.344952482,0.413123845,1.068299615,1900,662,7071,2.28E-05,4.01E-06,0.022240431,0.268703154,1.40E-06,0.007749034,0.093621836,0.736458147
60,10451,-7.29E-06,-3.28E-06,3.45E-07,89.33,187,174.75,162.62,483.67,911,61.5,209,72,395.5,18,48.5,665.42,527.58,693,482,856,761,157,167,37275.46511,109657.6488,9652597,9618417,25461.12067,15980.6342,-211,-0.304473304,-95,-0.110981308,10,0.063694268,1.093361693,-0.069413448,0.88351562,2.398373984,4.493055556,1.694444444,2.212732216,-0.274807431,9.681241504,3.341640236,7.32895333,0.690983235,3.37443479,-0.419083588,14.76397275,5.096028786,11.17671398,1.053755105,608.5,-34180,-0.003541016,-9480.486473,-0.3723515,72382.18372,1.941818392,44140,28944106.52,0.002500757,-0.001180897,-0.000327545,1.639831983,-0.774354327,-0.214782204,204070.626,73301.64882,236325.2742,3538,36356,-130768.9772,-0.640802548,-2.962595768,-0.004517983,-163023.6254,32818,9.275862069,0.743497961,0.00113384,-0.201308245,9.965689367,-7.29E-06,-3.28E-06,3.45E-07,-0.004780245,-0.002152243,0.000226552,1581.916667,1807.666667,-0.689827298,16.70629593,19.09039516,0.681818182,1.142706632,328,155,3664,3.28E-05,1.13E-05,0.007430902,0.089519651,5.36E-06,0.003511554,0.042303493,3.50042369
61,10452,-1.24E-05,2.18E-05,1.31E-06,145.67,232,435.5,397.88,1079.67,1901.33,179,482,121.5,197.5,10,34.5,670.08,892,660,319,687,1287,199,235,18854.86556,323219.7064,67151728,62405238,8010.538267,12908.00703,-341,-0.516666667,600,0.873362445,36,0.180904523,0.592640901,-0.086383467,0.761028833,1.69273743,0.625514403,2.45,1.134368759,-0.494323557,10.79654157,3.981393882,0.998633449,0.321927888,3.133531431,-1.365498117,29.82390172,10.99803108,2.758582054,0.889279741,803.57,-4746490,-0.070683066,4897.468762,0.611378237,304364.8409,16.14250921,76104,27550385.85,0.011047571,-0.172283975,0.000177764,3.999327774,-62.36846946,0.064352317,124186.5397,54392.70645,121031.8934,48946,268827,-69793.83328,-0.562008036,-0.917084953,-0.002533316,-66639.18695,219881,4.492318065,2.889217387,0.00798105,-3.299575071,5.042910021,-1.24E-05,2.18E-05,1.31E-06,-0.004480711,0.007883948,0.000473037,2168.490683,2571.45911,-0.550591956,19.49441053,23.11703708,0.696969697,1.185828987,297,122,2854,3.79E-05,1.08E-05,0.003902554,0.104064471,4.43E-06,0.001603069,0.042747022,2.503174421
62,10453,-8.00E-06,-3.38E-06,-1.01E-06,127.67,223,442.75,402,856.67,1602.67,268,775.5,147,258,13.5,34.5,588.08,853.92,479,273,610,523,267,241,13020.05058,112287.386,7453605,7439570,5103.188592,2815.594259,-206,-0.43006263,-87,-0.142622951,-26,-0.097378277,0.746690687,-0.092038396,0.870813732,1.893656716,0.755102041,1.555555556,1.228859441,-0.525291327,9.616376199,6.541971744,1.430854904,0.270702279,3.70235026,-1.582615893,28.97255108,19.70987892,4.310929182,0.815581197,684.63,-14035,-0.001882981,-2287.594333,-0.448267645,99267.33546,7.624189693,77576,25748509.27,0.003855265,-0.00054508,-8.88E-05,1.279613997,-0.180919357,-0.029488429,73333.44537,17385.38604,57915.19208,7214,94902,-55948.05933,-0.762926916,-0.721203198,-0.002172866,-40529.80604,87688,12.15525367,1.130349593,0.003405556,-2.163543539,12.8550667,-8.00E-06,-3.38E-06,-1.01E-06,-0.00265546,-0.001121481,-0.000335155,2168.490683,2571.45911,-0.69981303,21.51417862,25.51213663,0.869639794,1.185828987,210,172,3043,3.15E-05,8.16E-06,0.002707023,0.069010845,6.68E-06,0.002217181,0.056523168,3.780170962
63,10454,-3.09E-06,3.03E-06,3.22E-08,107,173.67,133.62,122.62,429.67,605,68.5,143,41.5,111,14.5,31.5,359.08,442.5,529,433,367,461,157,158,17165.5349,419300.019,9439537,9534255,13584.72694,15576.81382,-96,-0.18147448,94,0.25613079,1,0.006369427,0.623084112,-0.082323006,0.408057346,1.087591241,1.674698795,1.172413793,1.779480062,-0.29359953,4.679709603,1.988469546,1.855015214,0.453744729,2.146240983,-0.354112057,5.644224262,2.398304383,2.237344358,0.547264087,408.61,94718,0.010034179,1992.086879,0.146641658,402134.4841,23.42685424,37466,31063613.33,0.012945515,0.003049162,6.41E-05,10.73331778,2.528105482,0.053170525,60968.08214,40245.01903,62387.56184,53993,379055,-20723.0631,-0.339900197,-0.553116508,-0.000667117,-22142.5428,325062,6.020447095,8.676186409,0.010464398,-14.68042776,6.375366283,-3.09E-06,3.03E-06,3.22E-08,-0.002562323,0.002508941,2.67E-05,2168.490683,2571.45911,-0.354919188,20.22806099,23.98702107,0.647619048,1.185828987,325,160,2786,4.17E-05,1.05E-05,0.008674532,0.116654702,5.15E-06,0.004270539,0.057430007,2.387206585
64,10455,-1.34E-05,1.66E-06,-1.21E-06,123.33,175.67,154.88,142.62,630.33,726.67,110,299,81.5,128,10,24.5,373.33,797.42,747,482,690,723,197,173,7891.781364,149925.9389,26296767,25256143,3391.907954,5730.285544,-265,-0.354752343,33,0.047826087,-24,-0.121827411,0.424389848,-0.079158058,0.152840576,1.718181818,0.570552147,1.45,1.313952905,-0.307777276,2.418536928,4.744690465,1.16734448,0.364010644,2.637185168,-0.617728127,4.854153976,9.522888742,2.342932944,0.730591993,699.85,-1040624,-0.039572317,2338.37759,0.689398893,142034.1575,17.99773093,39834,19846918.84,0.007156484,-0.052432522,0.000117821,3.565651392,-26.12401466,0.058703057,67614.01776,30493.9389,81299.90054,17108,119432,-37120.07886,-0.54899975,-0.931869229,-0.001870319,-50805.96163,102324,5.981061492,2.568760355,0.005155662,-2.014015614,6.605981834,-1.34E-05,1.66E-06,-1.21E-06,-0.006652608,0.000828438,-0.0006025,2168.490683,2571.45911,-0.624920342,19.50527638,23.12992213,0.674418605,1.185828987,216,140,2763,3.77E-05,1.09E-05,0.005422503,0.078175896,7.05E-06,0.003514586,0.050669562,2.923817835
65,10456,-1.51E-05,5.75E-06,-3.31E-06,148.67,200,360.62,366.62,924.67,1704,176.5,621.5,206,298,17,45.5,449.5,654.25,1127,675,657,829,303,204,9786.768799,758719.9813,4373750,4553388,3596.459928,5323.36838,-452,-0.401064774,172,0.261796043,-99,-0.326732673,0.345261317,0.016638012,0.842819601,2.521246459,0.446601942,1.676470588,0.574225305,0.067121602,8.71831301,4.978185479,1.029197897,0.318827609,1.714803867,0.200444637,26.03541979,14.86631056,3.07348443,0.952112025,539.52,179638,0.041071849,1726.908452,0.480168968,748933.2125,76.52507461,89390,29933452.44,0.025019941,0.006001246,5.77E-05,8.378266166,2.009598389,0.01931881,76404.86318,38089.98134,72744.59939,319344,720630,-38314.88184,-0.501471768,-0.428626041,-0.001280002,-34654.61805,401286,1.256594769,4.489159861,0.013405938,-11.57958225,1.732982272,-1.51E-05,5.75E-06,-3.31E-06,-0.005056494,0.001924153,-0.001107506,1610.083333,1849.916667,-0.476387503,20.59186415,23.65916838,0.873770492,1.148957093,292,187,3715,3.07E-05,9.75E-06,0.003266585,0.078600269,6.25E-06,0.002091957,0.050336474,1.460860315
66,10457,-9.99E-06,2.28E-06,-1.57E-06,152.33,234.33,481.25,343.38,880,1596,163.5,520,168,293,16.5,62,335,849.5,760,384,734,820,293,234,9097.419968,241602.6682,10731182,11461353,2272.472222,3535.905769,-376,-0.494736842,86,0.117166213,-59,-0.201365188,0.538304996,-0.286483117,0.813636364,2.180428135,0.744047619,2.757575758,1.167209941,-1.962478471,10.19173558,5.074516391,1.779283447,0.647659175,2.178498322,-3.662799556,19.02200973,9.471154288,3.320881588,1.208800898,571.06,730171,0.068041992,1263.433547,0.555973153,232505.2482,25.55727328,70253,37640607.38,0.006176979,0.019398491,3.36E-05,3.309541916,10.39344939,0.017984051,69788.00481,28445.6682,53997.25811,23194,213157,-41342.33661,-0.59239889,-0.588477881,-0.001098344,-25551.5899,189963,8.190178494,2.703984171,0.005046757,-7.434488449,8.663380112,-9.99E-06,2.28E-06,-1.57E-06,-0.005352085,0.001224147,-0.000839822,1551.75,1768.25,-0.473201618,20.33920002,23.17692311,0.705705706,1.139519897,486,193,3840,3.91E-05,1.29E-05,0.006917854,0.1265625,5.13E-06,0.002747214,0.050260417,2.859072739
67,10458,-3.64E-06,7.78E-07,-1.72E-06,137.33,217.33,496.88,363.38,1137.67,1719.33,172.5,544,175,260,16.5,27,397.75,799.75,646,515,865,893,282,220,11453.96972,435624.9511,9077050,9831350,2095.626134,2185.089429,-131,-0.202786378,28,0.032369942,-62,-0.219858156,0.582538411,-0.268676542,0.511273041,2.153623188,0.485714286,0.636363636,1.008039112,-1.682165268,7.329200373,4.681081626,1.071041556,0.132305133,2.224149021,-3.711548679,16.17123149,10.32839202,2.363158335,0.291919559,588.02,754300,0.083099685,89.46329505,0.042690485,424170.9813,37.03266132,79362,35968812.9,0.011792743,0.020970945,2.49E-06,5.344761742,9.504548776,0.001127281,92256.54255,26345.95106,82441.9821,117953,409279,-65910.59149,-0.714427288,-0.830505676,-0.001832437,-56096.03105,291326,2.46984816,3.670850029,0.008099405,-5.193344245,3.150278562,-3.64E-06,7.78E-07,-1.72E-06,-0.001650664,0.000352814,-0.00078123,2168.490683,2571.45911,-0.680430402,12.02026447,14.25397804,0.683561644,1.185828987,263,154,3954,2.31E-05,7.31E-06,0.003313929,0.066514922,4.28E-06,0.001940475,0.038947901,2.384891031
68,10459,-6.56E-06,3.99E-06,-5.81E-06,150.67,184.67,225.75,212,470.33,931.33,190,456.5,120,168,11,30,512.08,719.42,446,298,642,732,289,158,4990.614925,43146.72704,13927608,14065221,1659.405786,1737.294742,-148,-0.331838565,90,0.140186916,-131,-0.453287197,0.225658724,-0.060908084,0.980162864,1.402631579,0.4,1.727272727,0.726433638,-0.29377831,9.849585506,5.693957781,1.025553372,0.40594821,1.507630793,-0.60970363,20.44169987,11.81716489,2.128419943,0.842499561,542.13,137613,0.009880591,77.88895621,0.04693786,38156.11212,7.64557328,46804,22551940.54,0.001691921,0.006102047,3.45E-06,0.815231863,2.940197419,0.001664152,42471.40539,11241.72704,41128.26864,5294,31905,-31229.67834,-0.735310689,-0.66724379,-0.001384789,-29886.54159,26611,5.026633925,0.568562516,0.001179987,-0.890400782,5.753300585,-6.56E-06,3.99E-06,-5.81E-06,-0.003162123,0.001922913,-0.002798906,1620.5,1814.166667,-0.72666666,22.93666419,25.677835,0.664609053,1.119510439,254,120,2282,4.62E-05,1.13E-05,0.005426887,0.111305872,5.32E-06,0.002563883,0.052585451,3.093251836
69,10460,-6.57E-06,1.02E-06,-2.02E-06,146.33,233.33,289.62,243.25,567.67,1162.67,195.5,587.5,129.5,212,13.5,58.5,551,370.5,558,327,631,667,219,148,6158.930708,995013.505,11934422,11303751,1998.950273,1679.694595,-231,-0.413978495,36,0.057052298,-71,-0.324200913,0.594546573,-0.160106346,1.048144168,2.00511509,0.637065637,3.333333333,1.535203812,-0.818245986,10.49938239,6.917240162,1.455796718,0.794070937,2.47470773,-1.318990775,16.92472528,11.15040724,2.346705606,1.28002124,500.59,-630671,-0.052844704,-319.2556779,-0.159711666,988854.5743,160.5562103,56670,35155666.65,0.028127886,-0.017939384,-9.08E-06,17.44934841,-11.1288336,-0.005633592,47749.24636,16597.50499,45746.68626,199806,978416,-31151.74137,-0.652402786,-0.549704277,-0.000886109,-29149.18127,778610,3.896829925,13.73936827,0.022147496,-26.71121335,4.534016652,-6.57E-06,1.02E-06,-2.02E-06,-0.004076231,0.000635257,-0.001252867,2168.490683,2571.45911,-0.637186727,23.04584677,27.32843312,0.711267606,1.185828987,456,114,2967,4.54E-05,1.30E-05,0.008046585,0.153690597,3.24E-06,0.002011646,0.038422649,2.602455017
