,zipcode,Gentrification_index,Business_renewal_index,Rent_increase,New_building_permits_over_total_permits,Major_renovation_permits_over_total_permits,Robbery_per_capita_change,Commercial_activity_growth,Taxi_pick_ups_change_per_square_mile,Noise_complaints_change_per_square_mile,Home_complaints_change_per_square_mile,Transportation_complaints_change_per_square_mile,Vehicle_parking_complaints_change_per_capita
79,10474,11.20100706,0.356321839,0.185828987,0.1,0.068939394,-0.001954238,611.48,4.25E-05,1.231099842,-0.62466006,3.447079556,1.506391988
80,10475,13.73831254,0.468864469,0.185828987,0.126279863,0.027303754,4.89E-05,584.19,-2.75E-05,1.190682744,-0.271786278,1.371873596,0.488627202
81,11001,70.5301802,0.36746988,0.211162374,0.119873817,0.359621451,0,449.91,-1.04E-05,1.347870784,0.041506556,0.873822226,3.296146045
82,11004,53.91482076,0.484848485,0.170936767,0.172413793,0.279115159,-8.49E-05,459.41,-1.44E-05,0.53082015,-0.187998803,0.619290175,2.335258152
83,11040,41.3304571,0.169451074,0.227886879,0.110526316,0.386842105,0,438.56,-1.26E-06,1.968311332,-0.159506591,3.34963841,0
84,11101,13.19963271,0.4,0.182971772,0.186449489,0.061427829,-0.000418984,515.52,-0.004996091,3.495348266,-0.026848327,4.350188875,2.456768492
85,11102,45.09269346,0.545667447,0.168693723,0.232698701,0.076458144,-0.000412444,495.56,-0.012014704,14.78688944,0.123978236,13.67945515,1.104760782
86,11103,36.77633224,0.5640599,0.198005511,0.106651698,0.138085883,0.000183083,487.28,-0.009203374,13.9617491,-0.679444757,10.13727621,2.026991683
87,11104,19.94857956,0.624223602,0.168754442,0.034505208,0.060546875,-0.000552955,454.43,-0.019136817,11.1159547,-1.396838497,10.50938917,0.036863641
88,11105,27.17948177,0.561586639,0.175796834,0.099881797,0.187647754,-0.000135479,483.78,-0.000953875,2.773610276,0.053693357,4.785266732,1.408984989
89,11106,30.71368122,0.608137045,0.156745273,0.104647584,0.108648815,-0.000284495,629.52,-0.005178134,7.290672009,0.324309203,9.658045391,1.474201474
90,11201,14.11721449,0.589198036,0.074839105,0.073834766,0.069067185,-0.001055787,558.17,-0.000848163,7.924830207,-0.316341059,-1.825044571,-0.377066797
91,11203,19.14888387,0.518126888,0.237263061,0.110302148,0.122315253,-0.001268255,643.04,-0.006835728,4.897366738,-2.180729802,10.86654775,1.979246733
92,11204,34.84433611,0.521126761,0.314913612,0.157914549,0.177677395,-6.46E-05,452.28,0.000327561,0.290895335,-0.539545411,9.321507958,0.639915195
93,11205,49.27664359,0.583586626,0.136592552,0.240343348,0.118025751,-0.002018237,423.48,9.05E-05,28.89238184,-0.703906139,2.55692401,1.446808511
94,11206,43.5416433,0.649805447,0.172730655,0.265838207,0.098684211,-0.001100808,652.41,-0.002024015,17.2070662,2.840981615,1.891858379,0.430750823
95,11207,25.0110849,0.616515837,0.273802204,0.200370771,0.073536227,-0.001325409,404.56,-0.003026413,7.372821013,-1.527723575,6.685480601,1.517807516
96,11208,21.22350461,0.661290323,0.241593907,0.168217934,0.061975028,-0.001196907,605.37,0.00021028,5.728989822,-0.79756698,10.74981582,2.076051266
97,11209,12.18621295,0.51459854,0.237049091,0.057625738,0.087965791,-4.33E-05,448.5,-2.79E-05,6.598283745,0.877385369,6.932641047,1.407840589
98,11210,29.7823667,0.538899431,0.328100924,0.097382199,0.190575916,-0.001222658,392.04,5.54E-06,2.777370396,-1.709857805,9.647707691,0.775344059
99,11211,35.42954325,0.623467601,0.146068141,0.181161695,0.134275249,-0.001133731,584.5,-0.000127569,20.59085361,-1.155151508,3.928750584,0.057508092
100,11212,19.31911053,0.787128713,0.272431856,0.050890585,0.074074074,-0.000488875,551.48,-0.022172305,2.827115834,-0.774323821,11.22173907,0.631960508
101,11213,40.65211922,0.708695652,0.289170402,0.1119085,0.130298273,-0.001585878,653.06,5.00E-05,22.11636131,-3.838546892,5.332252585,0.953128504
102,11214,21.71656157,0.563148789,0.310984942,0.137120266,0.092800666,-0.000550185,522.52,0.000376647,3.25714029,-0.194446365,9.444070086,1.178967225
103,11215,12.64866588,0.469798658,0.084863985,0.067743099,0.127548259,-0.000821849,484.13,2.71E-05,4.284849955,-0.185715051,1.114290306,0.450436212
104,11216,57.07183921,0.758754864,0.244416562,0.141729226,0.169298473,-0.001373881,613.33,-0.003514613,25.41710752,-4.74956232,1.095239403,0.594110876
105,11217,33.48339009,0.649122807,0.079551607,0.102708533,0.119606903,-0.001010515,575.98,-0.007542103,30.57996926,0.127031594,1.940118896,0.546224225
106,11218,25.71096941,0.465940054,0.19438051,0.134428355,0.146098984,-0.000664084,468.39,-0.010575711,4.945645234,-1.057805002,10.11695553,1.50802435
107,11219,43.53840648,0.506293706,0.302393793,0.229072227,0.198851617,-0.000356522,510.13,-0.00059716,3.904507325,-0.098088843,5.083001913,0.71304329
108,11220,31.76609472,0.632206759,0.249611198,0.04494382,0.232046898,-0.000370153,430.91,1.88E-07,8.857670531,0.68740564,5.942623867,0.642627266
109,11221,60.87559511,0.812191104,0.264398687,0.229935337,0.1382655,-0.002131319,754.13,0.000109779,26.17048799,-4.532602965,9.810660617,1.159138498
110,11222,25.31593405,0.513011152,0.144805064,0.167286739,0.11480202,-0.000413052,567.26,-0.001424931,7.643380238,-0.712195941,3.981292062,1.266694203
111,11223,32.76944706,0.566704675,0.294806566,0.140425532,0.201740812,-0.0005885,428.78,-0.005031968,2.560860535,0.098121178,7.282431176,0.901532605
112,11224,14.27081352,0.405088063,0.270013381,0.127826087,0.06173913,-0.001935484,487.89,6.32E-05,4.746265194,-0.053530917,1.520278033,0.151209677
113,11225,42.75440806,0.7421875,0.220938284,0.16078044,0.068905903,-0.001096821,567.26,0.000183677,26.63993643,-5.448838153,6.076300581,0.539565164
114,11226,34.26663201,0.741336634,0.199597051,0.156452776,0.085436193,-0.001092979,542.67,-0.001428437,20.12251221,-4.23105635,16.26548591,0.687822711
115,11228,21.25418306,0.546255507,0.332142857,0.076948052,0.116558442,-0.000232126,430.74,-0.000792891,2.088486737,0.914268275,5.604535151,1.125812442
116,11229,20.91667577,0.508908686,0.297954883,0.111354509,0.134173056,-0.000527585,352.35,1.22E-05,3.177014984,-0.307721347,5.397598756,2.191990755
117,11230,31.08316225,0.552533993,0.289380238,0.149193548,0.159090909,-0.00014841,381.48,0.000449078,3.304844678,-1.349378097,9.233535737,1.069789876
118,11231,25.2795634,0.468599034,0.066402191,0.150954064,0.166501767,-0.000905141,381.87,-0.000104206,2.395109714,0.127739185,0.935589732,1.46331161
119,11232,15.21111522,0.539503386,0.208723976,0.093709214,0.080657792,-0.000779106,538.13,-0.002984699,3.245043551,0.161062108,-0.322124215,1.134785407
120,11233,50.27699411,0.850117096,0.303285516,0.174391464,0.104868289,-0.001738166,733.33,-0.000470137,15.03339156,-4.000349213,6.654046215,1.161274855
121,11234,10.04832394,0.430649855,0.302917951,0.090449844,0.16670676,-0.000594039,341.94,-1.09E-05,0.805039586,-0.04970877,2.982526178,7.879747941
122,11235,22.23184703,0.581967213,0.265310904,0.130340136,0.120544218,-0.00077499,447.5,5.97E-05,4.252770841,-0.720452717,6.16910266,1.917772232
123,11236,16.65465313,0.550960118,0.266549929,0.130738156,0.103562248,-0.001037257,504.63,-0.000245358,2.002614987,-0.271131242,10.03901554,1.688187976
124,11237,36.46160483,0.651485149,0.232864962,0.101598383,0.136138159,-0.001135097,683.98,0.000196211,44.19185538,-0.059068322,10.24580145,0.29390899
125,11238,41.14596962,0.617307692,0.112192797,0.168339516,0.156775038,-0.001307218,700.59,-0.000771013,19.4251172,-3.660961967,1.427143147,0.835762044
126,11239,102.0270321,0.786666667,0.185828987,0.705905206,0.001165501,-0.000398026,490.54,-0.004392042,0.622089031,-0.1107797,0.430677021,1.671708327
127,11354,20.12893643,0.551912568,0.189167485,0.153116531,0.088346883,-0.000273387,476.74,-0.010721289,3.172856855,-0.338790837,5.065729661,0.828705681
128,11355,41.79043272,0.582089552,0.204109895,0.239382239,0.1796139,-0.00012076,455.83,-0.002564834,2.625595698,0.336552526,15.83538359,0.676254996
129,11356,35.04637082,0.498559078,0.239309248,0.234482759,0.138850575,-8.55E-05,482.63,0.000544095,3.524143919,-0.274000054,5.978602705,6.758201805
130,11357,24.48196648,0.327370304,0.220071776,0.271907469,0.267202509,-5.14E-05,370.96,-3.51E-06,0.947916793,0.054938584,1.428403185,3.402321282
131,11358,34.48399946,0.487179487,0.229584617,0.227664155,0.197793326,-0.00015897,542.3,7.14E-05,1.226599837,0.428028421,3.890335304,2.132845826
132,11360,24.06120523,0.331081081,0.181454767,0.1875,0.195833333,5.27E-05,342.85,8.28E-06,0.23175076,0.103000338,0.630877068,1.739313762
133,11361,29.02193261,0.429878049,0.21873821,0.208934517,0.183407325,-0.000210556,465.59,-3.39E-06,1.508267415,0.204331761,3.00018829,2.245929253
134,11362,29.83958384,0.364130435,0.189680675,0.267001369,0.242355089,-5.65E-05,335.43,-3.52E-05,0.414589822,-0.089245626,0.448056932,0.649460665
135,11363,38.56167785,0.46031746,0.30818912,0.136316337,0.178980229,0,246.19,-1.84E-06,0.192634593,-0.087448681,0.412493776,0.424929178
136,11364,29.42299658,0.505084746,0.20028447,0.206273764,0.239226869,-0.000353596,333.8,-5.98E-07,0.300618332,-0.054949186,0.824831192,1.812181395
137,11365,33.80392463,0.51754386,0.282131134,0.143693298,0.280655546,0.000148046,454.2,5.11E-06,0.509325634,0.138789074,3.026553005,1.949269641
138,11366,36.2139549,0.288461538,0.320303335,0.091590787,0.337439743,-0.000303767,399,0.000258026,7.71173145,-0.049119309,3.094516442,3.759113001
139,11367,24.46416442,0.522968198,0.175758949,0.085628065,0.253866465,-0.000263328,322.2,3.05E-06,1.602386445,-0.278120558,1.483309644,1.903143179
140,11368,35.92230905,0.739539749,0.242228097,0.223084083,0.109835557,0.000201707,638.3,0.00011842,6.92057291,-0.246655857,19.14066002,0.797660197
141,11369,51.01894945,0.650519031,0.212823587,0.171657754,0.182887701,-0.00055095,509.98,-0.00183128,4.568787307,-0.353287616,17.48141641,1.980795466
142,11370,29.71743277,0.428571429,0.2035827,0.050680787,0.229198185,-0.000320268,335.94,0.001506672,0.470681849,-0.442685013,3.541480104,0.702126087
143,11372,19.61030801,0.740987984,0.169992308,0.045454545,0.056116723,-6.00E-05,556.31,0.006540627,14.06864089,-3.031252269,16.81273755,0.217600096
144,11373,38.95330295,0.702597403,0.21955011,0.196517413,0.100390903,-0.000108608,512.43,-0.007613708,2.344398721,-0.729576882,17.75882031,0.572658518
145,11374,26.28666444,0.523584906,0.172596726,0.10569395,0.109252669,-0.000537949,365.48,-0.003969786,0.304322105,-4.329944109,10.63341905,1.321482868
146,11375,15.78880545,0.509151414,0.170356507,0.080081716,0.117466803,-0.000160455,427.81,0.000311451,3.963641512,-0.456575235,4.03865801,4.726132303
147,11377,22.43086784,0.648498331,0.208834982,0.143232014,0.099278373,-0.000407256,434.02,-0.000732006,3.633458515,-0.196707927,8.429345329,2.206885924
148,11378,20.54082144,0.433333333,0.234478354,0.181755594,0.13080895,-0.000169143,345,-0.002536131,1.46889841,-0.069724758,4.889788193,9.725706876
149,11379,17.81713321,0.374717833,0.246811398,0.05493925,0.234548336,2.82E-05,418.26,0.001598179,0.960383453,-0.032452422,2.499010069,6.703737157
150,11385,11.72069615,0.573745174,0.288127436,0.065783247,0.111374034,-0.00100573,493.13,-1.11E-05,5.911465726,-0.326478119,7.04003503,2.763216709
151,11411,20.6579453,0.475862069,0.285133346,0.021528525,0.180839612,-0.001097936,367.3,-0.000327816,0.111452908,-0.188076782,2.340511071,6.285682916
152,11412,33.02822599,0.652985075,0.271031159,0.109704641,0.15973478,-0.001170793,585.46,-1.44E-08,2.654072762,-0.556249325,3.228427457,3.341043434
153,11413,25.51235265,0.489230769,0.282194957,0.160839161,0.216783217,-0.000711581,503.31,1.01E-05,1.036208743,0.26528707,1.612370036,4.57444916
154,11414,20.9836904,0.443037975,0.222311662,0.136551155,0.173267327,-7.65E-05,499.63,5.73E-05,1.944975534,-0.099642063,0.954186164,3.422823925
155,11415,30.22567845,0.503030303,0.20722135,0.103448276,0.100574713,-0.000526593,487.52,0.000147649,5.356416071,-0.483267761,6.397941419,0.500263296
156,11416,47.51668787,0.58739255,0.251689189,0.116721854,0.163907285,-0.001809385,508.13,-0.002065476,4.420082943,-0.21214701,26.88963345,6.549187743
157,11417,33.78408058,0.440944882,0.252863647,0.245324532,0.095709571,-0.000980324,551.89,1.12E-05,7.245871855,0.164635058,11.59198014,5.216721518
158,11418,22.19995038,0.530434783,0.24525241,0.051916545,0.138282387,-0.001174639,504.24,-5.71E-05,8.024947677,0.550505166,13.59869538,3.086841315
159,11419,24.64543933,0.495037221,0.253852781,0.061340942,0.160722777,-0.001360139,666.74,0.00017431,10.52883705,-1.934213832,24.84106029,2.996557147
160,11420,31.48968733,0.432024169,0.26561223,0.205960015,0.247076575,-0.000628677,418.44,-2.27E-05,6.388700025,0.38397165,8.645826305,6.017333513
161,11421,27.72189849,0.656862745,0.252212178,0.07234957,0.093839542,-0.00140975,558.76,0.000756838,10.46003863,0.421560162,25.91052701,6.843697134
162,11422,27.96656386,0.429824561,0.265307104,0.079885877,0.318830243,-0.000763131,468.67,-5.84E-05,1.047892737,0.168494499,1.721538067,2.836855901
163,11423,29.01453149,0.408450704,0.273732848,0.174620999,0.199887704,-0.000892769,486.28,9.43E-06,2.631553732,-0.277192396,3.825255066,2.562576464
164,11426,28.98826435,0.378600823,0.226153846,0.143387816,0.296433878,-0.000648379,375.54,0.000446067,1.189296408,0.108447706,0.806302649,3.067331671
165,11427,21.07975739,0.382352941,0.225223204,0.061074919,0.221498371,-0.000364598,368.17,-9.08E-06,2.72189454,-0.114109609,2.890776761,2.07364871
166,11428,39.44812441,0.533039648,0.247043304,0.165263158,0.112631579,-5.31E-05,549.19,-1.53E-05,2.630025327,-0.103066711,5.495371109,3.321288128
167,11429,39.81085278,0.5907173,0.263653041,0.140144665,0.195298373,-0.000477783,490.33,1.56E-07,1.516706588,-0.252784431,2.616318864,4.081063864
168,11432,32.1916719,0.649222065,0.253107397,0.14194831,0.16500994,-0.000821587,593.44,6.59E-06,3.201690961,-0.232644799,5.176346782,0.39468385
169,11433,32.82550908,0.475783476,0.25801637,0.244680851,0.134245187,-0.001484605,545.74,0.000369642,5.132025805,-0.0758283,6.158430966,4.869503251
170,11434,28.90058771,0.546153846,0.269087026,0.162170543,0.227596899,-0.000896722,640.94,0.000494465,1.983641415,-0.258984626,3.765176401,4.233561538
171,11435,29.01014659,0.534918276,0.23062527,0.180242634,0.105719237,-0.000730282,537.69,0.000321536,4.726178611,-0.180972266,11.36420334,1.507377725
172,11436,67.80314451,0.603448276,0.264451988,0.184755592,0.238608119,-0.001820031,524.69,-0.004029438,2.467036922,-0.2863525,8.590574996,6.209517692
